日経平均,日足,,,
日付,始値,高値,安値,終値
2012/1/23,8753.91,8795.27,8744.54,8765.9
2012/1/20,8751.18,8791.39,8725.32,8766.36
2012/1/19,8596.68,8668.94,8596.68,8639.68
2012/1/18,8458.29,8595.78,8446.09,8550.58
2012/1/17,8420.12,8475.66,8413.22,8466.4
2012/1/16,8409.79,8409.79,8352.23,8378.36
2012/1/13,8471.1,8509.76,8458.68,8500.02
2012/1/12,8423.1,8426.83,8360.33,8385.59
2012/1/11,8440.96,8463.72,8426.03,8447.88
2012/1/10,8422.99,8450.59,8405.18,8422.26
2012/1/6,8488.98,8488.98,8349.33,8390.35
2012/1/5,8515.66,8519.16,8481.83,8488.71
2012/1/4,8549.54,8581.45,8547.7,8560.11
2011/12/30,8434.9,8455.35,8415.56,8455.35
2011/12/29,8367.71,8404.89,8330.87,8398.89
2011/12/28,8426.09,8456.66,8414.9,8423.62
2011/12/27,8443,8458.26,8428.53,8440.56
2011/12/26,8504.46,8516.53,8477.37,8479.34
2011/12/22,8429.54,8436.59,8383.96,8395.16
2011/12/21,8442.74,8471.11,8440.89,8459.98
2011/12/20,8318.03,8354.9,8317.73,8336.48
2011/12/19,8363.39,8364.93,8272.26,8296.12
2011/12/16,8416.21,8433.18,8390.98,8401.72
2011/12/15,8449.05,8455.32,8374.25,8377.37
2011/12/14,8513.77,8540.57,8486.37,8519.13
2011/12/13,8535.52,8594.32,8518.8,8552.81
2011/12/12,8652.98,8682.47,8633.35,8653.82
2011/12/9,8521.33,8576.68,8503.03,8536.46
2011/12/8,8664.35,8688.81,8625.19,8664.58
2011/12/7,8629.19,8729.81,8614.21,8722.17
2011/12/6,8644.97,8671.54,8571.09,8575.16
2011/12/5,8697.78,8704.48,8668.04,8695.98
2011/12/2,8603.23,8643.75,8591.93,8643.75
2011/12/1,8581.2,8653.88,8577.09,8597.38
2011/11/30,8407.63,8435.34,8361.69,8434.61
2011/11/29,8371.01,8477.82,8351.38,8477.82
2011/11/28,8269.91,8322.01,8259.71,8287.49
2011/11/25,8138.19,8199.67,8135.79,8160.01
2011/11/24,8189.42,8212.95,8157.39,8165.18
2011/11/22,8263.86,8350.35,8261.01,8314.74
2011/11/21,8349.05,8375.6,8343.93,8348.27
2011/11/18,8374.16,8398.8,8359.6,8374.91
2011/11/17,8421.88,8491.82,8400.22,8479.63
2011/11/16,8546.75,8567.64,8459.3,8463.16
2011/11/15,8546.99,8584.3,8527.63,8541.93
2011/11/14,8631.28,8655.31,8595.43,8603.7
2011/11/11,8545.92,8566.49,8485.77,8514.47
2011/11/10,8597.28,8600.21,8500.67,8500.8
2011/11/9,8724.6,8762.98,8678.78,8755.44
2011/11/8,8744.36,8772.04,8644,8655.51
2011/11/7,8771.82,8779.55,8741.25,8767.09
2011/11/4,8761.27,8814.71,8729.08,8801.4
2011/11/2,8719.92,8719.92,8640.42,8640.42
2011/11/1,8880.75,8946,8831.69,8835.52
2011/10/31,9011.18,9152.39,8988.39,8988.39
2011/10/28,9059.04,9086.43,9003.09,9050.47
2011/10/27,8779.4,8926.54,8731.77,8926.54
2011/10/26,8673.85,8798.8,8642.56,8748.47
2011/10/25,8866.43,8870.37,8755.38,8762.31
2011/10/24,8764.92,8844.28,8762.02,8843.98
2011/10/21,8679.04,8700.49,8652.26,8678.89
2011/10/20,8733.6,8733.6,8672.21,8682.15
2011/10/19,8808.25,8831.55,8745.36,8772.54
2011/10/18,8758.74,8773.99,8727.39,8741.91
2011/10/17,8881.44,8911.7,8856.58,8879.6
2011/10/14,8782.91,8787.89,8733.71,8747.96
2011/10/13,8832.81,8854.16,8808.73,8823.25
2011/10/12,8719.67,8763.02,8689.38,8738.9
2011/10/11,8733.54,8806.44,8725.62,8773.68
2011/10/7,8593.22,8663.57,8589.36,8605.62
2011/10/6,8463.83,8545.79,8463.83,8522.02
2011/10/5,8491.43,8501.03,8343.01,8382.98
2011/10/4,8426.39,8470.76,8359.24,8456.12
2011/10/3,8567.98,8577.52,8455.67,8545.48
2011/9/30,8713.91,8756,8653.62,8700.29
2011/9/29,8527.64,8706.14,8501.42,8701.23
2011/9/28,8607.92,8665.54,8595.85,8615.65
2011/9/27,8496.33,8609.95,8479.05,8609.95
2011/9/26,8547.62,8556.66,8359.7,8374.13
2011/9/22,8643.02,8643.02,8545.46,8560.26
2011/9/21,8717,8771.62,8707.16,8741.16
2011/9/20,8763.61,8771.72,8704.23,8721.24
2011/9/16,8785.28,8864.16,8774.16,8864.16
2011/9/15,8645.38,8695.95,8634.02,8668.86
2011/9/14,8623.55,8671.24,8499.34,8518.57
2011/9/13,8588.74,8635.88,8549.06,8616.55
2011/9/12,8578.71,8584.05,8520.97,8535.67
2011/9/9,8739.49,8803.75,8726.25,8737.66
2011/9/8,8863.24,8876.49,8757.58,8793.12
2011/9/7,8723.05,8773.26,8702.78,8763.41
2011/9/6,8687.11,8709.92,8588.34,8590.57
2011/9/5,8828.46,8842.56,8757.18,8784.46
2011/9/2,8980.56,9014.27,8914.65,8950.74
2011/9/1,9017.01,9098.15,8998.01,9060.8
2011/8/31,8938.31,8967.8,8905.52,8955.2
2011/8/30,8958.5,8992.86,8935.85,8953.9
2011/8/29,8802.25,8926.27,8751.29,8851.35
2011/8/26,8746.77,8805.1,8742.46,8797.78
2011/8/25,8748.01,8849.94,8741.74,8772.36
2011/8/24,8812.16,8825.27,8620.89,8639.61
2011/8/23,8703.31,8747.41,8630.49,8733.01
2011/8/22,8686.91,8756.1,8619.21,8628.13
2011/8/19,8771.7,8796.42,8707.47,8719.24
2011/8/18,9043.18,9043.18,8931.25,8943.76
2011/8/17,9047.89,9081.8,9003.7,9057.26
2011/8/16,9135.06,9150.31,9072.53,9107.43
2011/8/15,9082.53,9117.11,9032.84,9086.41
2011/8/12,9064.17,9070.27,8926.89,8963.72
2011/8/11,8876.54,8983.33,8832.42,8981.94
2011/8/10,9110.81,9144.33,9021.36,9038.74
2011/8/9,8911.8,8949.97,8656.79,8944.48
2011/8/8,9169.67,9215.09,9057.29,9097.56
2011/8/5,9469.16,9469.16,9264.09,9299.88
2011/8/4,9685.5,9768.4,9615.35,9659.18
2011/8/3,9705.02,9705.02,9610.38,9637.14
2011/8/2,9872.17,9873.46,9822.3,9844.59
2011/8/1,9907.04,10040.13,9906.17,9965.01
2011/7/29,9866.82,9914.22,9824.34,9833.03
2011/7/28,9936.97,9945.98,9853.85,9901.35
2011/7/27,10048.34,10053.5,10009.37,10047.19
